Location,Household Type,TimeFrame,DataFormat,Data,Fips
Financial District (CD1),All Households,2005,Dollars,127748.91668,101
Financial District (CD1),Families,2005,Dollars,184225.09951,101
Financial District (CD1),Families without Children,2005,Dollars,171895.32745,101
Financial District (CD1),Families with Children,2005,Dollars,240493.77057,101
Financial District (CD1),All Households,2006,Dollars,125650.55692,101
Financial District (CD1),Families,2006,Dollars,186613.01631,101
Financial District (CD1),Families with Children,2006,Dollars,207842.39913,101
Financial District (CD1),Families without Children,2006,Dollars,174759.31513,101
Financial District (CD1),All Households,2007,Dollars,135204.62771,101
Financial District (CD1),Families with Children,2007,Dollars,167170.67977,101
Financial District (CD1),Families,2007,Dollars,181608.08317,101
Financial District (CD1),Families without Children,2007,Dollars,201005.64719,101
Financial District (CD1),All Households,2008,Dollars,131052.98427,101
Financial District (CD1),Families,2008,Dollars,218492.71756,101
Financial District (CD1),Families with Children,2008,Dollars,238083.96842,101
Financial District (CD1),Families without Children,2008,Dollars,212378.43235,101
Financial District (CD1),Families,2009,Dollars,191669.06016,101
Financial District (CD1),All Households,2009,Dollars,125639.99401,101
Financial District (CD1),Families with Children,2009,Dollars,192597.2217,101
Financial District (CD1),Families without Children,2009,Dollars,189892.96382,101
Financial District (CD1),All Households,2010,Dollars,123927.56932,101
Financial District (CD1),Families,2010,Dollars,196197.51525,101
Financial District (CD1),Families with Children,2010,Dollars,276547.34598,101
Financial District (CD1),All Households,2011,Dollars,141439.82835,101
Financial District (CD1),Families without Children,2010,Dollars,165137.65167,101
Financial District (CD1),Families,2011,Dollars,221966.58026,101
Financial District (CD1),Families with Children,2011,Dollars,248555.13458,101
Financial District (CD1),Families without Children,2011,Dollars,198267.80403,101
Financial District (CD1),All Households,2012,Dollars,119049.11881,101
Financial District (CD1),Families,2012,Dollars,178616.49581,101
Financial District (CD1),Families without Children,2012,Dollars,168096.09669,101
Financial District (CD1),Families with Children,2012,Dollars,236487.37022,101
Financial District (CD1),All Households,2013,Dollars,142617.11397,101
Financial District (CD1),Families,2013,Dollars,205662.45739,101
Financial District (CD1),Families with Children,2013,Dollars,228565.68856,101
Financial District (CD1),Families without Children,2013,Dollars,191437.27917,101
Financial District (CD1),All Households,2014,Dollars,135003.257,101
Financial District (CD1),Families with Children,2014,Dollars,236137.19702,101
Financial District (CD1),Families,2014,Dollars,187710.57734,101
Financial District (CD1),Families without Children,2014,Dollars,178205.64714,101
Financial District (CD1),All Households,2015,Dollars,137034.34957,101
Financial District (CD1),Families,2015,Dollars,224790.98908,101
Financial District (CD1),Families with Children,2015,Dollars,280458.66947,101
Financial District (CD1),Families without Children,2015,Dollars,175673.70138,101
Financial District (CD1),Families,2016,Dollars,250479.47011,101
Financial District (CD1),All Households,2016,Dollars,152286.35024,101
Financial District (CD1),Families with Children,2016,Dollars,251632.63328,101
Financial District (CD1),Families without Children,2016,Dollars,245837.96062,101
Financial District (CD1),Families,2017,Dollars,203926.30047,101
Financial District (CD1),All Households,2017,Dollars,157709.94352,101
Financial District (CD1),All Households,2018,Dollars,158255.79521,101
Financial District (CD1),Families without Children,2017,Dollars,186811.79218,101
Financial District (CD1),Families with Children,2017,Dollars,255365.61956,101
Financial District (CD1),Families without Children,2019,Dollars,214966.13546,101
Financial District (CD1),Families with Children,2019,Dollars,262708.48242,101
Financial District (CD1),Families,2019,Dollars,241920.96877,101
Financial District (CD1),All Households,2019,Dollars,170331.092,101
Financial District (CD1),Families without Children,2018,Dollars,211469.18884,101
Financial District (CD1),Families with Children,2018,Dollars,267050.77932,101
Financial District (CD1),Families,2018,Dollars,267050.77932,101
Financial District (CD1),All Households,2021,Dollars,57565.11553,101
Financial District (CD1),Families,2021,Dollars,87681.36764,101
Financial District (CD1),Families without Children,2021,Dollars,80000.66124,101
Financial District (CD1),Families with Children,2021,Dollars,100961.3692,101
Greenwich Village and Soho (CD2),Families with Children,2021,Dollars,149039.6308,102
Greenwich Village and Soho (CD2),Families without Children,2021,Dollars,118097.3388,102
Greenwich Village and Soho (CD2),Families,2021,Dollars,129435.6324,102
Greenwich Village and Soho (CD2),All Households,2021,Dollars,84977.88447,102
Greenwich Village and Soho (CD2),Families,2018,Dollars,267050.77932,102
Greenwich Village and Soho (CD2),Families with Children,2018,Dollars,267050.77932,102
Greenwich Village and Soho (CD2),Families without Children,2018,Dollars,211469.18884,102
Greenwich Village and Soho (CD2),All Households,2019,Dollars,170331.092,102
Greenwich Village and Soho (CD2),Families,2019,Dollars,241920.96877,102
Greenwich Village and Soho (CD2),Families with Children,2019,Dollars,262708.48242,102
Greenwich Village and Soho (CD2),Families without Children,2019,Dollars,214966.13546,102
Greenwich Village and Soho (CD2),Families with Children,2017,Dollars,255365.61956,102
Greenwich Village and Soho (CD2),Families without Children,2017,Dollars,186811.79218,102
Greenwich Village and Soho (CD2),All Households,2018,Dollars,158255.79521,102
Greenwich Village and Soho (CD2),All Households,2017,Dollars,157709.94352,102
Greenwich Village and Soho (CD2),Families,2017,Dollars,203926.30047,102
Greenwich Village and Soho (CD2),Families without Children,2016,Dollars,245837.96062,102
Greenwich Village and Soho (CD2),Families with Children,2016,Dollars,251632.63328,102
Greenwich Village and Soho (CD2),All Households,2016,Dollars,152286.35024,102
Greenwich Village and Soho (CD2),Families,2016,Dollars,250479.47011,102
Greenwich Village and Soho (CD2),Families without Children,2015,Dollars,175673.70138,102
Greenwich Village and Soho (CD2),Families with Children,2015,Dollars,280458.66947,102
Greenwich Village and Soho (CD2),Families,2015,Dollars,224790.98908,102
Greenwich Village and Soho (CD2),All Households,2015,Dollars,137034.34957,102
Greenwich Village and Soho (CD2),Families without Children,2014,Dollars,178205.64714,102
Greenwich Village and Soho (CD2),Families,2014,Dollars,187710.57734,102
Greenwich Village and Soho (CD2),Families with Children,2014,Dollars,236137.19702,102
Greenwich Village and Soho (CD2),All Households,2014,Dollars,135003.257,102
Greenwich Village and Soho (CD2),Families without Children,2013,Dollars,191437.27917,102
Greenwich Village and Soho (CD2),Families with Children,2013,Dollars,228565.68856,102
Greenwich Village and Soho (CD2),Families,2013,Dollars,205662.45739,102
Greenwich Village and Soho (CD2),All Households,2013,Dollars,142617.11397,102
Greenwich Village and Soho (CD2),Families with Children,2012,Dollars,236487.37022,102
Greenwich Village and Soho (CD2),Families without Children,2012,Dollars,168096.09669,102
Greenwich Village and Soho (CD2),Families,2012,Dollars,178616.49581,102
Greenwich Village and Soho (CD2),All Households,2012,Dollars,119049.11881,102
Greenwich Village and Soho (CD2),Families without Children,2011,Dollars,198267.80403,102
Greenwich Village and Soho (CD2),Families with Children,2011,Dollars,248555.13458,102
Greenwich Village and Soho (CD2),Families,2011,Dollars,221966.58026,102
Greenwich Village and Soho (CD2),Families without Children,2010,Dollars,165137.65167,102
Greenwich Village and Soho (CD2),All Households,2011,Dollars,141439.82835,102
Greenwich Village and Soho (CD2),Families with Children,2010,Dollars,276547.34598,102
Greenwich Village and Soho (CD2),Families,2010,Dollars,196197.51525,102
Greenwich Village and Soho (CD2),All Households,2010,Dollars,123927.56932,102
Greenwich Village and Soho (CD2),Families without Children,2009,Dollars,189892.96382,102
Greenwich Village and Soho (CD2),Families with Children,2009,Dollars,192597.2217,102
Greenwich Village and Soho (CD2),All Households,2009,Dollars,125639.99401,102
Greenwich Village and Soho (CD2),Families,2009,Dollars,191669.06016,102
Greenwich Village and Soho (CD2),Families without Children,2008,Dollars,212378.43235,102
Greenwich Village and Soho (CD2),Families with Children,2008,Dollars,238083.96842,102
Greenwich Village and Soho (CD2),Families,2008,Dollars,218492.71756,102
Greenwich Village and Soho (CD2),All Households,2008,Dollars,131052.98427,102
Greenwich Village and Soho (CD2),Families without Children,2007,Dollars,201005.64719,102
Greenwich Village and Soho (CD2),Families,2007,Dollars,181608.08317,102
Greenwich Village and Soho (CD2),Families with Children,2007,Dollars,167170.67977,102
Greenwich Village and Soho (CD2),All Households,2007,Dollars,135204.62771,102
Greenwich Village and Soho (CD2),Families without Children,2006,Dollars,174759.31513,102
Greenwich Village and Soho (CD2),Families with Children,2006,Dollars,207842.39913,102
Greenwich Village and Soho (CD2),Families,2006,Dollars,186613.01631,102
Greenwich Village and Soho (CD2),All Households,2006,Dollars,125650.55692,102
Greenwich Village and Soho (CD2),Families with Children,2005,Dollars,240493.77057,102
Greenwich Village and Soho (CD2),Families without Children,2005,Dollars,171895.32745,102
Greenwich Village and Soho (CD2),Families,2005,Dollars,184225.09951,102
Greenwich Village and Soho (CD2),All Households,2005,Dollars,127748.91668,102
Lower East Side and Chinatown (CD3),All Households,2005,Dollars,44050.21327,103
Lower East Side and Chinatown (CD3),Families,2005,Dollars,44046.09052,103
Lower East Side and Chinatown (CD3),Families without Children,2005,Dollars,46479.88748,103
Lower East Side and Chinatown (CD3),Families with Children,2005,Dollars,40240.79194,103
Lower East Side and Chinatown (CD3),All Households,2006,Dollars,48870.35975,103
Lower East Side and Chinatown (CD3),Families,2006,Dollars,47184.35287,103
Lower East Side and Chinatown (CD3),Families with Children,2006,Dollars,40993.93954,103
Lower East Side and Chinatown (CD3),Families without Children,2006,Dollars,51543.07137,103
Lower East Side and Chinatown (CD3),All Households,2007,Dollars,41265.54822,103
Lower East Side and Chinatown (CD3),Families with Children,2007,Dollars,34641.26723,103
Lower East Side and Chinatown (CD3),Families,2007,Dollars,40993.77624,103
Lower East Side and Chinatown (CD3),Families without Children,2007,Dollars,47100.27366,103
Lower East Side and Chinatown (CD3),All Households,2008,Dollars,45296.78692,103
Lower East Side and Chinatown (CD3),Families,2008,Dollars,45015.37112,103
Lower East Side and Chinatown (CD3),Families with Children,2008,Dollars,43154.55561,103
Lower East Side and Chinatown (CD3),Families without Children,2008,Dollars,46054.25413,103
Lower East Side and Chinatown (CD3),Families,2009,Dollars,42979.3099,103
Lower East Side and Chinatown (CD3),All Households,2009,Dollars,50918.05325,103
Lower East Side and Chinatown (CD3),Families with Children,2009,Dollars,38902.55783,103
Lower East Side and Chinatown (CD3),Families without Children,2009,Dollars,50918.05325,103
Lower East Side and Chinatown (CD3),All Households,2010,Dollars,51350.59262,103
Lower East Side and Chinatown (CD3),Families,2010,Dollars,53032.58727,103
Lower East Side and Chinatown (CD3),Families with Children,2010,Dollars,49870.049,103
Lower East Side and Chinatown (CD3),All Households,2011,Dollars,46210.48969,103
Lower East Side and Chinatown (CD3),Families without Children,2010,Dollars,55000.98216,103
Lower East Side and Chinatown (CD3),Families,2011,Dollars,44111.30014,103
Lower East Side and Chinatown (CD3),Families with Children,2011,Dollars,43238.11281,103
Lower East Side and Chinatown (CD3),Families without Children,2011,Dollars,44676.51195,103
Lower East Side and Chinatown (CD3),All Households,2012,Dollars,47245.16714,103
Lower East Side and Chinatown (CD3),Families,2012,Dollars,39092.46537,103
Lower East Side and Chinatown (CD3),Families without Children,2012,Dollars,35930.90664,103
Lower East Side and Chinatown (CD3),Families with Children,2012,Dollars,43012.01128,103
Lower East Side and Chinatown (CD3),All Households,2013,Dollars,45675.58024,103
Lower East Side and Chinatown (CD3),Families,2013,Dollars,41159.57838,103
Lower East Side and Chinatown (CD3),Families with Children,2013,Dollars,33014.15871,103
Lower East Side and Chinatown (CD3),Families without Children,2013,Dollars,44989.30274,103
Lower East Side and Chinatown (CD3),All Households,2014,Dollars,46464.30426,103
Lower East Side and Chinatown (CD3),Families with Children,2014,Dollars,54464.08125,103
Lower East Side and Chinatown (CD3),Families,2014,Dollars,47889.70682,103
Lower East Side and Chinatown (CD3),Families without Children,2014,Dollars,44911.97461,103
Lower East Side and Chinatown (CD3),All Households,2015,Dollars,47417.70816,103
Lower East Side and Chinatown (CD3),Families,2015,Dollars,38463.22377,103
Lower East Side and Chinatown (CD3),Families with Children,2015,Dollars,37929.23046,103
Lower East Side and Chinatown (CD3),Families without Children,2015,Dollars,38531.65568,103
Lower East Side and Chinatown (CD3),Families,2016,Dollars,47916.7597,103
Lower East Side and Chinatown (CD3),All Households,2016,Dollars,45734.7397,103
Lower East Side and Chinatown (CD3),Families with Children,2016,Dollars,50508.32466,103
Lower East Side and Chinatown (CD3),Families without Children,2016,Dollars,47047.72529,103
Lower East Side and Chinatown (CD3),Families,2017,Dollars,41040.20335,103
Lower East Side and Chinatown (CD3),All Households,2017,Dollars,43089.98195,103
Lower East Side and Chinatown (CD3),All Households,2018,Dollars,51675.1873,103
Lower East Side and Chinatown (CD3),Families without Children,2017,Dollars,42946.29062,103
Lower East Side and Chinatown (CD3),Families with Children,2017,Dollars,38758.55919,103
Lower East Side and Chinatown (CD3),Families without Children,2019,Dollars,47479.63953,103
Lower East Side and Chinatown (CD3),Families with Children,2019,Dollars,40467.45276,103
Lower East Side and Chinatown (CD3),Families,2019,Dollars,44555.1804,103
Lower East Side and Chinatown (CD3),All Households,2019,Dollars,43401.36936,103
Lower East Side and Chinatown (CD3),Families without Children,2018,Dollars,40962.22109,103
Lower East Side and Chinatown (CD3),Families with Children,2018,Dollars,42600.83812,103
Lower East Side and Chinatown (CD3),Families,2018,Dollars,41127.79191,103
Lower East Side and Chinatown (CD3),All Households,2021,Dollars,49685,103
Lower East Side and Chinatown (CD3),Families,2021,Dollars,51915,103
Lower East Side and Chinatown (CD3),Families without Children,2021,Dollars,55013,103
Lower East Side and Chinatown (CD3),Families with Children,2021,Dollars,48482,103
Chelsea-Village,Families without Children,2021,Dollars,115857.5539,104
Chelsea-Village,Families,2021,Dollars,115601.6374,104
Chelsea-Village,Families with Children,2021,Dollars,100782.4697,104
Chelsea-Village,All Households,2021,Dollars,61873.15741,104
Chelsea-Village,Families,2018,Dollars,186425.26693,104
Chelsea-Village,Families with Children,2018,Dollars,205166.81566,104
Chelsea-Village,Families without Children,2018,Dollars,183541.13005,104
Chelsea-Village,All Households,2019,Dollars,126360.17293,104
Chelsea-Village,Families,2019,Dollars,195552.05627,104
Chelsea-Village,Families with Children,2019,Dollars,163882.14997,104
Chelsea-Village,Families without Children,2019,Dollars,200435.262,104
Chelsea-Village,Families with Children,2017,Dollars,186378.54105,104
Chelsea-Village,Families without Children,2017,Dollars,154784.95409,104
Chelsea-Village,All Households,2018,Dollars,107973.5392,104
Chelsea-Village,All Households,2017,Dollars,111013.5269,104
Chelsea-Village,Families,2017,Dollars,162225.33472,104
Chelsea-Village,Families without Children,2016,Dollars,189854.60816,104
Chelsea-Village,Families with Children,2016,Dollars,182918.981,104
Chelsea-Village,All Households,2016,Dollars,112708.10339,104
Chelsea-Village,Families,2016,Dollars,189682.57708,104
Chelsea-Village,Families without Children,2015,Dollars,180969.8829,104
Chelsea-Village,Families with Children,2015,Dollars,176276.12661,104
Chelsea-Village,Families,2015,Dollars,179579.92973,104
Chelsea-Village,All Households,2015,Dollars,114736.76352,104
Chelsea-Village,Families without Children,2014,Dollars,169407.24035,104
Chelsea-Village,Families,2014,Dollars,158092.75655,104
Chelsea-Village,Families with Children,2014,Dollars,151987.90006,104
Chelsea-Village,All Households,2014,Dollars,110708.51164,104
Chelsea-Village,Families without Children,2013,Dollars,161889.78922,104
Chelsea-Village,Families with Children,2013,Dollars,180955.3293,104
Chelsea-Village,Families,2013,Dollars,173336.85239,104
Chelsea-Village,All Households,2013,Dollars,114533.22745,104
Chelsea-Village,Families with Children,2012,Dollars,168068.32312,104
Chelsea-Village,Families without Children,2012,Dollars,144348.53203,104
Chelsea-Village,Families,2012,Dollars,152400.55459,104
Chelsea-Village,All Households,2012,Dollars,99841.37658,104
Chelsea-Village,Families without Children,2011,Dollars,147154.48545,104
Chelsea-Village,Families with Children,2011,Dollars,141127.13288,104
Chelsea-Village,Families,2011,Dollars,146983.38793,104
Chelsea-Village,Families without Children,2010,Dollars,129181.07207,104
Chelsea-Village,All Households,2011,Dollars,97973.97884,104
Chelsea-Village,Families with Children,2010,Dollars,126262.45943,104
Chelsea-Village,Families,2010,Dollars,128825.49889,104
Chelsea-Village,All Households,2010,Dollars,94469.6054,104
Chelsea-Village,Families without Children,2009,Dollars,138863.8274,104
Chelsea-Village,Families with Children,2009,Dollars,217964.91328,104
Chelsea-Village,All Households,2009,Dollars,100921.5218,104
Chelsea-Village,Families,2009,Dollars,154396.95631,104
Chelsea-Village,Families without Children,2008,Dollars,151764.93947,104
Chelsea-Village,Families with Children,2008,Dollars,104797.01376,104
Chelsea-Village,Families,2008,Dollars,140974.44099,104
Chelsea-Village,All Households,2008,Dollars,98350.48434,104
Chelsea-Village,Families without Children,2007,Dollars,162138.39009,104
Chelsea-Village,Families with Children,2007,Dollars,141947.40644,104
Chelsea-Village,All Households,2007,Dollars,102253.24123,104
Chelsea-Village,Families,2007,Dollars,155270.67353,104
Chelsea-Village,Families without Children,2006,Dollars,150840.00304,104
Chelsea-Village,Families with Children,2006,Dollars,95274.61988,104
Chelsea-Village,Families,2006,Dollars,134826.24874,104
Chelsea-Village,All Households,2006,Dollars,96297.08439,104
Chelsea-Village,Families without Children,2005,Dollars,122135.10495,104
Chelsea-Village,Families,2005,Dollars,133075.51013,104
Chelsea-Village,Families with Children,2005,Dollars,175787.20378,104
Chelsea-Village,All Households,2005,Dollars,97000.0703,104
Stuyvesant Town and Turtle Bay (CD6),Families without Children,2021,Dollars,199839,106
Stuyvesant Town and Turtle Bay (CD6),Families,2021,Dollars,200308,106
Stuyvesant Town and Turtle Bay (CD6),Families with Children,2021,Dollars,201520,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2021,Dollars,117596,106
Stuyvesant Town and Turtle Bay (CD6),Families,2018,Dollars,262168.0424,106
Stuyvesant Town and Turtle Bay (CD6),Families with Children,2018,Dollars,240328.71702,106
Stuyvesant Town and Turtle Bay (CD6),Families without Children,2018,Dollars,262170.1788,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2019,Dollars,162354.24355,106
Stuyvesant Town and Turtle Bay (CD6),Families,2019,Dollars,230620.34589,106
Stuyvesant Town and Turtle Bay (CD6),Families with Children,2019,Dollars,260161.27116,106
Stuyvesant Town and Turtle Bay (CD6),Families without Children,2019,Dollars,228884.37519,106
Stuyvesant Town and Turtle Bay (CD6),Families with Children,2017,Dollars,272142.67094,106
Stuyvesant Town and Turtle Bay (CD6),Families without Children,2017,Dollars,185442.37026,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2018,Dollars,144097.88772,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2017,Dollars,122336.83915,106
Stuyvesant Town and Turtle Bay (CD6),Families,2017,Dollars,207483.74946,106
Stuyvesant Town and Turtle Bay (CD6),Families without Children,2016,Dollars,208231.96686,106
Stuyvesant Town and Turtle Bay (CD6),Families with Children,2016,Dollars,240801.3346,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2016,Dollars,122531.63292,106
Stuyvesant Town and Turtle Bay (CD6),Families,2016,Dollars,210209.76932,106
Stuyvesant Town and Turtle Bay (CD6),Families without Children,2015,Dollars,191712.57177,106
Stuyvesant Town and Turtle Bay (CD6),Families with Children,2015,Dollars,280458.66947,106
Stuyvesant Town and Turtle Bay (CD6),Families,2015,Dollars,213249.55392,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2015,Dollars,119870.279,106
Stuyvesant Town and Turtle Bay (CD6),Families without Children,2014,Dollars,185795.43837,106
Stuyvesant Town and Turtle Bay (CD6),Families,2014,Dollars,193468.35,106
Stuyvesant Town and Turtle Bay (CD6),Families with Children,2014,Dollars,226517.69546,106
