Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Period Type
172653,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,bedford stuyvesant - crown heights,Annual Average 2011,2010-12-01,25.3,,Annual Average
172585,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,bedford stuyvesant - crown heights,Annual Average 2009,2008-12-01,26.93,,Annual Average
336637,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,east new york,Annual Average 2015,2015-01-01,19.09,,Annual Average
336622,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,fordham - bronx pk,Annual Average 2015,2015-01-01,19.76,,Annual Average
172582,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,pelham - throgs neck,Annual Average 2009,2008-12-01,22.83,,Annual Average
667327,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,pelham - throgs neck,Annual Average 2020,2020-01-01,16.19,,Annual Average
172607,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,chelsea-village,Annual Average 2009,2008-12-01,38.16,,Annual Average
172675,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,chelsea-village,Annual Average 2011,2010-12-01,34.96,,Annual Average
176689,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,borough park,Annual Average 2013,2012-12-01,20.23,,Annual Average
176682,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,high bridge - morrisania,Annual Average 2013,2012-12-01,23.73,,Annual Average
740910,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,high bridge - morrisania,Annual Average 2021,2021-01-01,18.04,,Annual Average
176693,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,coney island - sheepshead bay,Annual Average 2013,2012-12-01,16.36,,Annual Average
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,rockaways,Annual Average 2021,2021-01-01,11.41,,Annual Average
550028,375,Nitrogen dioxide (NO2),Mean,ppb,CD,201,mott haven and melrose (cd1),Annual Average 2017,2017-01-01,21.25,,Annual Average
741126,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,financial district (cd1),Annual Average 2021,2021-01-01,21.61,,Annual Average
167746,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,greenwich village and soho (cd2),Annual Average 2013,2012-12-01,29.27,,Annual Average
741255,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,woodside and sunnyside (cd2),Annual Average 2021,2021-01-01,20.21,,Annual Average
172662,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,301,washington heights,Annual Average 2011,2010-12-01,25.56,,Annual Average
667399,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,301,washington heights,Annual Average 2020,2020-01-01,18.08,,Annual Average
176683,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,hunts point - mott haven,Annual Average 2013,2012-12-01,21.54,,Annual Average
740913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,hunts point - mott haven,Annual Average 2021,2021-01-01,18.52,,Annual Average
167759,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203,morrisania and crotona (cd3),Annual Average 2013,2012-12-01,22.32,,Annual Average
549998,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,lower east side and chinatown (cd3),Annual Average 2017,2017-01-01,23.65,,Annual Average
172663,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,central harlem - morningside heights,Annual Average 2011,2010-12-01,28.23,,Annual Average
336664,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,central harlem - morningside heights,Annual Average 2015,2015-01-01,23.15,,Annual Average
211757,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,northeast bronx,Annual Average 2014,2013-12-01,18.97,,Annual Average
211390,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,1,bronx,Annual Average 2014,2013-12-01,19.8,,Annual Average
336652,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,bensonhurst - bay ridge,Annual Average 2015,2015-01-01,18.62,,Annual Average
667381,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,bensonhurst - bay ridge,Annual Average 2020,2020-01-01,14.81,,Annual Average
172593,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,williamsburg - bushwick,Annual Average 2009,2008-12-01,27.13,,Annual Average
