Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Period Type
175345,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,borough park,Winter 2010-11,2010-12-01,30.1,,Seasonal
336507,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,high bridge - morrisania,Winter 2014-15,2014-12-01,26.0,,Seasonal
175348,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,bensonhurst - bay ridge,Winter 2010-11,2010-12-01,28.44,,Seasonal
175894,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,bensonhurst - bay ridge,Summer 2009,2009-06-01,18.95,,Seasonal
175895,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,coney island - sheepshead bay,Summer 2009,2009-06-01,15.22,,Seasonal
175349,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,coney island - sheepshead bay,Winter 2010-11,2010-12-01,25.7,,Seasonal
336723,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,financial district (cd1),Winter 2014-15,2014-12-01,30.4,,Seasonal
165858,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,greenwich village and soho (cd2),Winter 2010-11,2010-12-01,36.79,,Seasonal
166625,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,greenwich village and soho (cd2),Summer 2009,2009-06-01,31.63,,Seasonal
336852,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,woodside and sunnyside (cd2),Winter 2014-15,2014-12-01,26.28,,Seasonal
171599,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,bedford stuyvesant - crown heights,Winter 2009-10,2009-12-01,28.86,,Seasonal
549907,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,east new york,Summer 2017,2017-06-01,13.39,,Seasonal
602850,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,east new york,Summer 2018,2018-06-01,11.97,,Seasonal
171595,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,fordham - bronx pk,Winter 2009-10,2009-12-01,23.87,,Seasonal
549895,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,pelham - throgs neck,Summer 2017,2017-06-01,14.14,,Seasonal
643458,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,201,greenpoint,Winter 2018-19,2018-12-01,26.69,,Seasonal
211654,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,kingsbridge - riverdale,Summer 2014,2014-06-01,13.55,,Seasonal
643446,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,kingsbridge - riverdale,Winter 2018-19,2018-12-01,18.32,,Seasonal
211655,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,northeast bronx,Summer 2014,2014-06-01,15.4,,Seasonal
643449,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,northeast bronx,Winter 2018-19,2018-12-01,19.11,,Seasonal
211674,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,west queens,Summer 2014,2014-06-01,16.64,,Seasonal
643506,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,west queens,Winter 2018-19,2018-12-01,24.36,,Seasonal
175885,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,hunts point - mott haven,Summer 2009,2009-06-01,23.0,,Seasonal
175892,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,east flatbush - flatbush,Summer 2009,2009-06-01,21.39,,Seasonal
336531,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,east flatbush - flatbush,Winter 2014-15,2014-12-01,25.7,,Seasonal
175347,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,canarsie - flatlands,Winter 2010-11,2010-12-01,26.24,,Seasonal
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,southwest queens,Summer 2009,2009-06-01,18.59,,Seasonal
165871,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203,morrisania and crotona (cd3),Winter 2010-11,2010-12-01,30.92,,Seasonal
211670,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,central harlem - morningside heights,Summer 2014,2014-06-01,19.54,,Seasonal
643494,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,central harlem - morningside heights,Winter 2018-19,2018-12-01,24.69,,Seasonal
549903,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,202,downtown - heights - slope,Winter 2016-17,2016-12-01,26.27,,Seasonal
602844,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,202,downtown - heights - slope,Summer 2018,2018-06-01,16.37,,Seasonal
602829,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,kingsbridge - riverdale,Summer 2018,2018-06-01,11.69,,Seasonal
549886,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,kingsbridge - riverdale,Summer 2017,2017-06-01,13.02,,Seasonal
549889,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,northeast bronx,Summer 2017,2017-06-01,14.37,,Seasonal
602832,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,northeast bronx,Summer 2018,2018-06-01,13.05,,Seasonal
175297,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,hunts point - mott haven,Winter 2009-10,2009-12-01,26.48,,Seasonal
175381,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,hunts point - mott haven,Winter 2011-12,2011-12-01,25.17,,Seasonal
643482,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,bensonhurst - bay ridge,Winter 2018-19,2018-12-01,20.53,,Seasonal
211668,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,williamsburg - bushwick,Summer 2014,2014-06-01,17.0,,Seasonal
643539,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,northern si,Winter 2018-19,2018-12-01,18.62,,Seasonal
175333,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,101,kingsbridge - riverdale,Winter 2010-11,2010-12-01,25.48,,Seasonal
175371,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,port richmond,Winter 2010-11,2010-12-01,27.72,,Seasonal
336606,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,port richmond,Winter 2014-15,2014-12-01,22.69,,Seasonal
336744,375,Nitrogen dioxide (NO2),Mean,ppb,CD,108,upper east side (cd8),Winter 2014-15,2014-12-01,29.3,,Seasonal
